"","id","author","title","date","Status","reviewer","Light-Neurocognition","Water-Neurocognition","Air-Neurocognition","Land-Neurocognition","Biota-Neurocognition","Interaction & Perception-Neurocognition","Built Environment-Neurocognition","Chemical Hazards-Neurocognition","Meteorological-Neurocognition","Geological-Neurocognition","Light-Neurodevelopment","Water-Neurodevelopment","Air-Neurodevelopment","Land-Neurodevelopment","Biota-Neurodevelopment","Interaction & Perception-Neurodevelopment","Built Environment-Neurodevelopment","Chemical Hazards-Neurodevelopment","Meteorological-Neurodevelopment","Geological-Neurodevelopment","Light-Personality & Identity","Water-Personality & Identity","Air-Personality & Identity","Land-Personality & Identity","Biota-Personality & Identity","Interaction & Perception-Personality & Identity","Built Environment-Personality & Identity","Chemical Hazards-Personality & Identity","Meteorological-Personality & Identity","Geological-Personality & Identity","Light-Reality Connection","Water-Reality Connection","Air-Reality Connection","Land-Reality Connection","Biota-Reality Connection","Interaction & Perception-Reality Connection","Built Environment-Reality Connection","Chemical Hazards-Reality Connection","Meteorological-Reality Connection","Geological-Reality Connection","Light-Social & Behavioral","Water-Social & Behavioral","Air-Social & Behavioral","Land-Social & Behavioral","Biota-Social & Behavioral","Interaction & Perception-Social & Behavioral","Built Environment-Social & Behavioral","Chemical Hazards-Social & Behavioral","Meteorological-Social & Behavioral","Geological-Social & Behavioral","Light-Mind-Body Relationship","Water-Mind-Body Relationship","Air-Mind-Body Relationship","Land-Mind-Body Relationship","Biota-Mind-Body Relationship","Interaction & Perception-Mind-Body Relationship","Built Environment-Mind-Body Relationship","Chemical Hazards-Mind-Body Relationship","Meteorological-Mind-Body Relationship","Geological-Mind-Body Relationship","Light-Stress & Resilience","Water-Stress & Resilience","Air-Stress & Resilience","Land-Stress & Resilience","Biota-Stress & Resilience","Interaction & Perception-Stress & Resilience","Built Environment-Stress & Resilience","Chemical Hazards-Stress & Resilience","Meteorological-Stress & Resilience","Geological-Stress & Resilience","Light-Affect","Water-Affect","Air-Affect","Land-Affect","Biota-Affect","Interaction & Perception-Affect","Built Environment-Affect","Chemical Hazards-Affect","Meteorological-Affect","Geological-Affect","continent1","subregion1","country1","continent2","subregion2","country2","continent3","subregion3","country3","Urban","Rural","Women","Men","In-utero (unborn)","Children and Adolescents (under 18)","Older adults (65+)","Pregnant persons","Low-income","High-income","Outdoor workers","Indoor workers","Unhoused","Non-literate","Indigenous","Migrant","Racial/ethnic minority/minoritized population","Other marginalized population","Other (please note)","General/non-specified","other","ej","Flagship paper","General doubts","exclusion","notes","matrix_cell","pop_list"
"322",3445,"Weber 2018","The Restorative Value of the Urban Environment: A Systematic Review of the Existing Literature","2023-08-30","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","On","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No","Flagship paper",NA,NA,NA,"Land-Stress & Resilience, Biota-Stress & Resilience, Interaction & Perception-Stress & Resilience","General/non-specified"
"323",3447,"Du 2020","Indoor CO2 concentrations and cognitive function: A critical review","2023-07-08","IP Address","Lars","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Water-Neurocognition","General/non-specified"
"324",3450,"Hegewald 2020","Traffic noise and mental health: A systematic review and meta-analysis","2023-07-31","IP Address","Elise","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","On","Off","On","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified","""adult"" populations","No",NA,NA,NA,NA,"Built Environment-Neurocognition, Built Environment-Stress & Resilience, Biota-Affect, Built Environment-Affect","General/non-specified"
"325",3468,"Reis 2018","Diesel exhaust exposure, its multi-system effects, and the effect of new technology diesel exhaust","2023-07-17","IP Address","Breanna","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Water-Neurocognition","General/non-specified"
"326",3493,"Geoffroy 2019","Efficacy of light therapy versus antidepressant drugs, and of the combination versus monotherapy, in major depressive episodes: A systematic review and meta-analysis","2023-07-26","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","On","On","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,"General doubts",NA,"Paper comparing effectiveness of light therapy and antidepressants in treating SAD and non-seasonal depression.","Geological-Stress & Resilience, Biota-Affect, Interaction & Perception-Affect","General/non-specified"
"327",3514,"Jaakkola 2018","The Holistic Effects of Climate Change on the Culture, Well-Being, and Health of the Saami, the Only Indigenous People in the European Union","2023-07-10","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Europe","Northern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Racial/ethnic minority/minoritized population",NA,NA,NA,"Saami People in Northern Europe","No","Flagship paper",NA,NA,"I feel this might be a flagship in terms of mentioning for its specificity on a small ethnic minority. Thinking in terms of the other extreme of the population scale:
"" While many studies do not focus on any population in particular, some specific studies focused on ethnic minorities, such as Saami.""","Chemical Hazards-Mind-Body Relationship","Racial/ethnic minority/minoritized population"
"328",3520,"Zhang 2018","Genetics of Parkinson's disease and related disorders","2023-07-12","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Built Environment-Neurodevelopment","General/non-specified"
"329",3521,"Lan 2020","Transportation noise exposure and anxiety: A systematic review and meta-analysis","2023-08-02","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Biota-Stress & Resilience, Interaction & Perception-Stress & Resilience","General/non-specified"
"330",3546,"Smith 2020","The Effectiveness of Virtual Reality in Managing Acute Pain and Anxiety for Medical Inpatients: Systematic Review","2023-07-11","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,"A paper on Virtual reality as anxiety therapeutic (and primarily pain management).","Biota-Stress & Resilience","General/non-specified"
"331",3548,"Rajoo 2020","The physiological and psychosocial effects of forest therapy: A systematic review","2023-08-02","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","On","Off","Off","Off","Off","Off","Off","Off","Off","On","On","Off","Off","Off","Off","Off","Off","Off","Off","On","On","Off","Off","Off","Off","Off","Asia",NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,"General doubts",NA,"Forest bathing (shinrin-yoku) is at the interface of land and biota.","Air-Mind-Body Relationship, Land-Mind-Body Relationship, Air-Stress & Resilience, Land-Stress & Resilience, Air-Affect, Land-Affect","General/non-specified"
"332",3549,"Svechkina 2020","The impact of artificial light at night on human and ecosystem health: a systematic literature review","2023-07-17","IP Address","Breanna","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Geological-Social & Behavioral, Geological-Stress & Resilience","General/non-specified"
"333",3552,"Gonçalves 2020","Toxicity testing of pesticides in zebrafish—a systematic review on chemicals and associated toxicological endpoints","2023-08-21","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other (please note)",NA,"Zebrafish animal model","No",NA,NA,NA,NA,"Built Environment-Neurocognition, Built Environment-Neurodevelopment, Built Environment-Social & Behavioral","Other (please note)"
"334",3555,"Liu 2019","Association between prenatal cadmium exposure and cognitive development of offspring: A systematic review","2023-08-28","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Asia",NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,"In-utero (unborn)","Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Built Environment-Neurocognition, Built Environment-Neurodevelopment","In-utero (unborn), Children and Adolescents (under 18)"
"335",3567,"Lipfert 2018","Long-term associations of morbidity with air pollution: A catalog and synthesis","2023-08-09","IP Address","Lars","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Water-Neurocognition","General/non-specified"
"336",3573,"VanKamp 2020","Evidence relating to environmental noise exposure and annoyance, sleep disturbance, cardio-vascular and metabolic health outcomes in the context of IGCB (N): A scoping review of new evidence","2023-08-07","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Biota-Mind-Body Relationship","General/non-specified"
"337",3576,"Aghaei 2019","Association between ambient gaseous and particulate air pollutants and attention deficit hyperactivity disorder (ADHD) in children; a systematic review","2023-08-14","IP Address","Lars","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In-utero (unborn)","Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Water-Neurodevelopment, Interaction & Perception-Neurodevelopment","In-utero (unborn), Children and Adolescents (under 18)"
"338",3577,"Pelch 2019","Environmental chemicals and autism: A scoping review of the human and animal research","2023-08-14","IP Address","Elise","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","On","On","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Light-Neurodevelopment, Water-Neurodevelopment, Air-Neurodevelopment, Built Environment-Neurodevelopment","General/non-specified"
"339",3578,"Freiberg 2019","Health effects of wind turbines on humans in residential settings: Results of a scoping review","2023-07-26","IP Address","Lars","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Interaction & Perception-Neurocognition, Interaction & Perception-Mind-Body Relationship, Interaction & Perception-Stress & Resilience","General/non-specified"
"340",3606,"Iyare 2019","The effects of manganese exposure from drinking water on school-age children: A systematic review","2023-07-12","IP Address","Lars","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Light-Neurocognition, Light-Neurodevelopment, Light-Social & Behavioral","Children and Adolescents (under 18)"
"341",3643,"Cénat 2020","Symptoms of posttraumatic stress disorder, depression, anxiety and other mental health problems following the 2010 earthquake in Haiti: A systematic review and meta-analysis","2023-09-11","IP Address","Breanna","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Central and South America","Caribbean","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Meteorological-Stress & Resilience, Meteorological-Affect","General/non-specified"
"342",3653,"Groot 2019","A systematic review of the health impacts of occupational exposure to wildland fires","2023-07-26","IP Address","Mariana","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Outdoor workers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"General doubts",NA,"The section on mental health is relatively small but it is detailed and it is about the same as the the sections on other aspects of health","Chemical Hazards-Stress & Resilience","Outdoor workers"
"343",3688,"Sampson 2020","Urbanization, urbanicity, and depression: A review of the recent global literature","2023-08-16","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"Interaction & Perception-Affect","Urban"
"344",3704,"Martins 2020","Manganese-induced neurodegenerative diseases and possible therapeutic approaches","2023-07-11","IP Address","Hannah","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Built Environment-Neurocognition","General/non-specified"
"345",3714,"Fu 2020","Air Pollution and Alzheimer's Disease: A Systematic Review and Meta-Analysis","2023-08-22","IP Address","Elise","Off","Off","On","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Water-Neurocognition, Built Environment-Neurocognition","General/non-specified"
"346",3729,"Campisi 2018","Autism spectrum disorder","2023-08-28","IP Address","Elise","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","On","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Children and Adolescents (under 18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Water-Neurodevelopment, Interaction & Perception-Neurodevelopment, Built Environment-Neurodevelopment","Children and Adolescents (under 18), General/non-specified"
"347",3734,"Nukui 2018","Mental health of nurses after the Fukushima complex disaster: A narrative review","2023-08-14","IP Address","Elise","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Asia",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Built Environment-Stress & Resilience, Built Environment-Affect","General/non-specified"
"348",3762,"Cruz 2020","Effect of extreme weather events on mental health: A narrative synthesis and meta-analysis for the UK","2023-08-20","IP Address","Mariana","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Off","Off","Off","Off","Off","Off","Off","Off","On","Off","Europe","Northern Europe","United Kingdom of Great Britain and Northern Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General/non-specified",NA,"No",NA,NA,NA,NA,"Chemical Hazards-Mind-Body Relationship, Chemical Hazards-Stress & Resilience, Chemical Hazards-Affect","General/non-specified"
